3.658	5.961	8.855
3.842	6.079	9
3.592	5.711	8.921
3.816	5.829	9.013
3.776	5.895	9
3.632	5.921	8.921
3.921	5.605	8.921
3.737	5.855	8.921
3.868	5.842	8.987
3.789	5.855	8.947
3.737	5.816	9.105
3.671	5.855	9.039
3.737	5.855	8.855
3.895	5.882	9.105
3.882	5.737	9.013
3.763	5.842	8.855
3.684	5.737	9.039
3.697	5.737	9.013
3.776	5.868	8.895
3.5	5.763	8.868
3.368	5.868	8.934
3.816	5.816	9.053
3.526	5.816	9.053
3.724	5.961	9.039
3.724	5.934	8.974
3.276	5.842	8.842
3.487	5.816	9.079
3.711	5.829	8.921
3.684	5.618	9.013
3.461	5.737	9.092
3.566	5.803	8.947
3.658	5.789	9.092
3.605	5.618	9.066
3.671	5.763	8.921
3.579	5.763	9.013
3.526	5.842	8.789
3.763	5.697	8.908
3.579	5.763	9
3.5	5.658	9.026
3.645	5.645	9.026
3.487	5.803	8.961
3.618	5.776	9.105
3.684	5.697	9
3.526	5.882	9.013
3.684	5.605	9
3.671	5.711	9.066
3.737	5.987	9.145
3.671	5.934	9.039
3.618	5.737	9.039
3.763	5.829	8.961
3.987	5.882	9.079
3.395	5.474	9.053
3.566	5.947	8.789
3.908	5.632	8.697
3.092	5.882	8.961
3.776	5.474	8.882
3.618	6.118	8.961
3.842	5.882	8.803
3.645	5.711	8.868
3.592	5.803	9.039
3.671	5.737	8.934
3.697	5.842	9.039
3.697	5.829	9.237
3.697	5.539	8.868
3.645	5.895	9
3.776	5.895	9.079
3.553	5.566	9.026
3.434	5.803	8.974
3.855	5.566	8.974
3.447	5.803	8.987
3.803	5.645	8.816
3.461	5.842	8.987
3.711	5.566	9.145
3.618	5.842	9.145
3.697	5.697	8.868
3.579	5.934	9.013
3.724	5.75	8.908
3.539	5.829	9.013
3.539	5.882	9.053
3.763	5.645	8.987
3.711	5.882	8.987
3.645	5.605	8.855
3.632	5.566	8.961
4.026	6.013	9.224
3.75	5.816	8.987
3.579	6.118	8.961
3.789	5.75	8.789
3.487	5.961	9.145
3.882	6.039	8.842
3.868	5.961	9.053
3.816	5.605	9.158
3.5	5.724	8.855
3.658	5.763	9.066
3.658	5.855	8.987
3.671	5.697	9
3.605	5.658	8.987
3.697	5.671	9.039
3.789	5.711	8.974
3.592	5.816	8.947
3.776	5.763	9.158
3.75	5.645	9.079
3.763	5.724	9.039
3.697	5.882	9.026
3.566	5.579	8.961
3.684	5.789	9.079
3.816	5.803	8.987
3.526	5.868	8.921
3.803	5.684	8.855
3.566	5.737	8.961
3.724	5.711	8.882
3.711	5.553	9.039
3.724	5.697	8.882
3.776	5.842	8.816
3.711	5.487	8.921
3.605	5.974	9.066
4	5.947	9.053
3.868	5.763	9.066
3.618	5.816	8.987
3.658	5.697	8.842
3.934	5.803	8.842
3.421	5.724	9.066
3.934	5.829	8.882
3.553	5.671	8.987
3.816	5.763	8.921
3.895	5.684	8.855
3.421	5.763	9.066
3.882	5.934	9.039
3.566	5.684	9.053
3.868	5.961	8.908
3.658	5.789	9.079
3.618	5.947	9.079
3.803	5.829	9.092
3.75	5.711	8.961
3.553	5.711	8.921
3.566	5.763	9.026
3.632	5.816	8.868
3.684	5.961	9.105
3.803	5.776	8.947
3.592	5.737	8.75
3.697	5.987	9.039
3.658	5.895	9.079
3.697	5.789	9.039
3.645	5.921	8.947
3.632	5.842	8.882
3.526	5.882	8.934
3.645	5.553	8.934
3.868	5.645	8.921
3.553	5.789	8.961
4.053	5.947	8.789
3.645	5.632	8.895
3.842	5.947	8.921
3.75	5.921	8.816
3.566	5.974	8.974
3.921	6.053	9.039
3.816	5.947	8.882
3.789	6	8.724
3.539	5.961	8.961
3.684	5.987	8.882
3.605	6.105	8.855
4.211	6.079	8.987
4.25	5.605	9
4.053	5.908	9.039
4.197	5.658	9.158
4.184	6.053	9.013
4.171	5.697	9.105
4.395	5.908	8.987
3.895	5.658	9.211
4.382	5.961	9.329
4.553	5.724	9.079
3.645	5.658	9.303
4.224	5.868	9.118
4.066	5.711	9.118
3.645	5.461	9.053
3.618	5.671	8.987
3.039	5.461	8.921
3.526	5.526	8.921
3.329	5.711	8.789
3.395	5.605	9.105
3.882	5.934	8.75
2.908	5.382	9.211
3.553	5.579	8.553
3.105	5.342	8.724
3.618	5.75	9.105
3.934	6.026	9
3.724	5.895	9.039
3.434	5.855	8.934
3.368	5.829	8.987
3.408	5.474	8.934
3.039	5.671	8.947
3.079	5.684	8.789
3.224	5.697	8.816
3.421	5.763	8.684
3.184	5.711	8.658
2.947	5.513	8.592
2.75	5.171	8.316
2.711	5.474	9.066
2.921	5.789	8.868
3.237	5.75	8.776
3.658	6.197	9.092
3.684	5.5	8.592
3.645	6.395	8.645
4.5	5.605	8.947
4.158	6.303	8.921
4.171	5.776	8.592
3.882	5.763	8.776
3.579	5.579	8.829
3.961	6.013	8.789
3.263	5.447	8.789
3.579	5.868	8.539
3.158	6.5	8.724
2.895	6.224	8.632
3.263	6.303	8.447
2.539	6.25	8.684
2.513	6.066	8.329
2.289	5.947	8.908
2.289	5.882	8.224
2.658	6.711	8.211
2.421	6.382	8.855
3.039	7.039	8.75
3.342	7.355	8.382
2.934	11.803	7.724
2.079	-1.895	1.882
3.211	3.013	10.724
6.303	7.803	9.171
4.066	-6.724	16.474
5.342	9.237	12.053
0.526	3.026	14.276
5.368	6.632	10.224
5.355	9.224	11.829
5.276	26.645	23.684
7.026	26.645	25.803
25.697	26.737	25.816
-2.882	19.237	25.829
-11.921	6.632	25.868
-5.026	-4.263	18.092
1.618	-4.605	15.842
1.526	-3.579	15.605
-0.645	0.947	15.987
-5.658	1.526	15.303
-7.276	3.539	14.987
-6.289	3.553	13.539
-2.987	4.145	12.447
-0.474	5.197	11.882
1.026	6.316	11.789
1.618	7.224	11.539
1.974	7.618	11.368
2.987	6.211	11.368
4.316	16.237	9.316
8.447	8.342	13.25
6.934	15.316	12.711
9.342	13.618	11.447
9.263	15.289	12.408
9.237	17.118	13.197
7.789	19.289	14.461
4.947	22.632	15.776
2.224	24.855	16.289
0.947	26.618	17.092
1.434	26.658	16.803
5.355	26.645	14.132
8.092	26.684	9.737
7.474	26.658	5.092
2.618	26.645	0.724
-1.474	26.605	-4.303
5.039	26.632	-12.145
17.303	26.711	-16.789
22.566	26.737	-23.974
26.579	26.776	-26.789
18.868	26.711	-26.789
9.5	26.684	-23.868
4.75	26.671	-13.724
-23.671	-11.303	25.605
8.684	-12.237	25.75
-0.5	-25.947	-26.474
-3.724	15.5	-4.171
26.513	26.776	25.816
26.605	10.474	18.553
26.618	15.803	19.447
2.434	19.237	18.987
-26	14.592	21.263
-6.526	14.132	16.237
15.421	19.026	18.289
6.066	4.724	11.553
-0.671	5.066	12.224
-0.461	11.263	12.421
7.461	6.289	10.763
5.868	5.303	9.789
3.553	7.079	11.092
5.053	6.474	10.724
7.303	6.092	10.553
4.934	5.645	10.421
2.868	5.908	9.868
2.539	5.579	9.75
2.461	5.237	9.211
2.145	5.158	9.171
2.382	5.329	9.737
3.145	5.211	9.513
3.487	4.395	8.842
2.947	4.645	8.868
3.658	5.197	9.434
4.947	4.711	8.487
3.184	5.224	8.684
3.368	5.25	9.171
4.671	5.382	9.5
4.605	5.671	8.618
3.461	5.539	9.263
4.395	5.553	9.513
4.658	6.329	8.75
